# SPDX-FileCopyrightText: 2026 Olivares.AI
# SPDX-License-Identifier: AGPL-3.0-only
#
# config-env-catalog.tsv — the ONE hand-written field per OLIVARES_* variable.
#
# THE ROSTER IS NOT HERE. It is enumerated from the non-test Go sources on every
# run by scripts/config-env-docs, so this file cannot decide which variables exist:
# a name in the code with no row here FAILS the gate, and a row here for a name the
# code no longer reads FAILS it too. Rows are rewritten sorted by
# `bash scripts/check-config-env-docs.sh --write`; edit the prose, not the roster.
#
# Columns, tab-separated: name	required(yes|no)	default(empty for none)	summary
OLIVARES_EMBEDDINGS_KEY	no		Api key for the openai-compatible embeddings provider.
OLIVARES_EMBEDDINGS_MODEL	no		Embedding model requested from the openai-compatible provider.
OLIVARES_EMBEDDINGS_OPENAI_BASE_URL	no		Endpoint the openai embeddings provider is called at.
OLIVARES_EMBEDDINGS_OPENAI_COMPAT_BASE_URL	no		Endpoint the openai-compatible embeddings provider is called at.
OLIVARES_EMBEDDINGS_OPENAI_COMPAT_DIM	no		Vector dimension the openai-compatible provider returns, which has to match the index.
OLIVARES_EMBEDDINGS_OPENAI_COMPAT_GEO	no		Region or data-residency hint sent to the openai-compatible provider.
OLIVARES_EMBEDDINGS_OPENAI_COMPAT_KEY	no		Api key for the openai-compatible embeddings provider.
OLIVARES_EMBEDDINGS_OPENAI_COMPAT_MODEL	no		Embedding model requested from the openai-compatible provider.
OLIVARES_EMBEDDINGS_OPENAI_DIM	no		Vector dimension the openai provider returns, which has to match the index.
OLIVARES_EMBEDDINGS_OPENAI_GEO	no		Region or data-residency hint sent to the openai provider.
OLIVARES_EMBEDDINGS_OPENAI_KEY	no		Api key for the openai embeddings provider.
OLIVARES_EMBEDDINGS_OPENAI_MODEL	no		Embedding model requested from the openai provider.
OLIVARES_EMBEDDINGS_PROVIDER	no		Which embeddings provider is used, pinning one instead of taking the first that is configured.
OLIVARES_EMBEDDINGS_REQUIRE	no		Set to a true value to make a missing or unusable embeddings provider a refusal rather than a degraded index.
OLIVARES_EMBEDDINGS_SELF_HOSTED_BASE_URL	no		Endpoint the self-hosted embeddings provider is called at.
OLIVARES_EMBEDDINGS_SELF_HOSTED_DIM	no		Vector dimension the self-hosted provider returns, which has to match the index.
OLIVARES_EMBEDDINGS_SELF_HOSTED_GEO	no		Region or data-residency hint sent to the self-hosted provider.
OLIVARES_EMBEDDINGS_SELF_HOSTED_KEY	no		Api key for the self-hosted embeddings provider.
OLIVARES_EMBEDDINGS_SELF_HOSTED_MODEL	no		Embedding model requested from the self-hosted provider.
OLIVARES_EMBEDDINGS_VOYAGE_BASE_URL	no		Endpoint the voyage embeddings provider is called at.
OLIVARES_EMBEDDINGS_VOYAGE_DIM	no		Vector dimension the voyage provider returns, which has to match the index.
OLIVARES_EMBEDDINGS_VOYAGE_GEO	no		Region or data-residency hint sent to the voyage provider.
OLIVARES_EMBEDDINGS_VOYAGE_KEY	no		Api key for the voyage embeddings provider.
OLIVARES_EMBEDDINGS_VOYAGE_MODEL	no		Embedding model requested from the voyage provider.
OLIVARES_ENDPOINT	no		Control-plane base URL the Terraform provider talks to, when the provider block does not set one.
OLIVARES_ENGINE	no		Store engine the Kubernetes operator selects for the engine it manages: `sqlite` or `postgres`.
OLIVARES_EVALS_MONITOR_WINDOW	no		Time window the evaluation monitor scores, as a Go duration.
OLIVARES_EVENTING_ALLOW_LOOPBACK	no		Set to a true value to allow loopback destinations. Single-box development only, because the default refusal is what blocks server-side request forgery.
OLIVARES_EVENTING_DISPATCH_INTERVAL	no	15s	How often queued events are dispatched, as a Go duration. `0` disables the pump.
OLIVARES_EVENTING_EGRESS_POLICY	no		Path to the JSON policy that decides which destinations outbound events may reach. A policy that does not parse leaves eventing unwired rather than open.
OLIVARES_EVENTING_RETENTION	no	168h	How long delivered events are kept for replay, as a Go duration.
OLIVARES_EVENTING_SECRET_KEY	no		Key that encrypts eventing subscription signing secrets at rest.
OLIVARES_EXTRA_ARGS	no		Extra `serve` arguments appended by the packaged service unit, for operators who configure the daemon through an environment file.
OLIVARES_GROK_HOOK_	no		Family prefix for the Grok Build hook client and server settings listed above.
OLIVARES_GROK_HOOK_ACCOUNT	no		Account the Grok Build hook client reports.
OLIVARES_GROK_HOOK_AGENT	no		Agent identity the Grok Build hook client reports.
OLIVARES_GROK_HOOK_ORG	no		Organization the Grok Build hook client reports.
OLIVARES_GROK_HOOK_PEP_CONFIG	no		Path to the JSON configuration of the Grok Build hook enforcement point server. Absent mounts nothing; a path given must be readable and valid or startup fails closed.
OLIVARES_GROK_HOOK_TENANT	no		Tenant the Grok Build hook client acts in.
OLIVARES_GROK_HOOK_TOKEN	no		Bearer credential the Grok Build hook client presents to the enforcement point.
OLIVARES_GROK_HOOK_URL	no		Endpoint of the enforcement point the Grok Build hook client calls; unset denies, deny-closed.
OLIVARES_GUARDIAN_SWEEP_INTERVAL	no		How often the guardian sweep runs, as a Go duration. `0` disables it.
OLIVARES_HA_LEADER_GATE	no		Set to `1` to make background loops run only on the elected leader, so a multi-replica deployment does not run them twice.
OLIVARES_HA_LEADER_LABEL	no		Label this replica publishes when it holds leadership, so an operator can route to the leader.
OLIVARES_HITL_CONFIG	no		Path to the JSON configuration of the human-in-the-loop review path.
OLIVARES_HOOK_FIREWALL_CONFIG	no		Path to the JSON configuration of the data-loss firewall that runs inside the hook. Unset leaves that half off.
OLIVARES_HOOK_PEP_	no		Family prefix for the Claude Code hook client and server settings listed above.
OLIVARES_HOOK_PEP_ACCOUNT	no		Account the Claude Code hook client reports.
OLIVARES_HOOK_PEP_AGENT	no		Agent identity the Claude Code hook client reports.
OLIVARES_HOOK_PEP_CONFIG	no		Path to the JSON configuration of the hook enforcement point server.
OLIVARES_HOOK_PEP_ORG	no		Organization the Claude Code hook client reports.
OLIVARES_HOOK_PEP_TENANT	no		Tenant the Claude Code hook client reports.
OLIVARES_HOOK_PEP_TOKEN	no		Token the Claude Code hook client presents to the enforcement point.
OLIVARES_HOOK_PEP_URL	no		Base URL of the enforcement point the Claude Code hook client calls.
OLIVARES_INCIDENTLOOP_CONFIG	no		Path to the JSON configuration of the incident close-the-loop subscriber. Read by builds compiled with the `enterprise` tag.
OLIVARES_INFERENCE_PROXY_CONFIG	no		Path to the JSON configuration of the governed inference proxy.
OLIVARES_INGEST_TOKEN	no		Bearer token the collector ingest endpoint requires from telemetry senders.
OLIVARES_INSECURE	no		Set to `1` to let the CLI talk to a plaintext or untrusted-TLS endpoint. Local development only.
OLIVARES_KEY_CUSTODY	no		Custody posture required of the audit signing key: whether a raw on-disk key is accepted or a wrapped one is demanded.
OLIVARES_KEY_WRAP	no		Family stem naming the key management backend that wraps signing keys.
OLIVARES_KEY_WRAP_	no		Family prefix from which the per-backend key-wrapping keys are built.
OLIVARES_KEY_WRAP_AWS_KEY_ID	no		Key identifier in AWS KMS. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_AWS_REGION	no		Region of the AWS KMS key. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_AZURE_KEY_NAME	no		Key name in Azure Key Vault. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_AZURE_KEY_VERSION	no		Key version in Azure Key Vault. Unset uses the current version. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_AZURE_TOKEN	no		Token used against Azure Key Vault. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_AZURE_VAULT_URL	no		Azure Key Vault URL. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_GCP_KEY	no		Fully qualified key version name in Google Cloud KMS. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_GCP_TOKEN	no		Token used against Google Cloud KMS. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_GCP_TOKEN_FILE	no		Path to the file holding the token used against Google Cloud KMS. Used by the backend that wraps the signing keys.
OLIVARES_KEY_WRAP_OLD	no		Previous key management backend during a rewrap migration, so keys wrapped by it can still be unwrapped.
OLIVARES_LEDGER_CUSTODY	no		Custody posture required of the ledger checkpoint signer, the ledger counterpart of the audit key posture.
OLIVARES_LEDGER_KMS_	no		Family prefix from which the per-backend ledger signer keys are built.
OLIVARES_LEDGER_KMS_AWS_KEY_ID	no		Key identifier in AWS KMS. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_AWS_REGION	no		Region of the AWS KMS key. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_AWS_SIGNING_ALG	no		Signing algorithm requested from AWS KMS. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_AZURE_KEY_NAME	no		Key name in Azure Key Vault. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_AZURE_KEY_VERSION	no		Key version in Azure Key Vault. Unset uses the current version. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_AZURE_TOKEN	no		Token used against Azure Key Vault. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_AZURE_VAULT_URL	no		Azure Key Vault URL. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_GCP_KEY	no		Fully qualified key version name in Google Cloud KMS. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_GCP_TOKEN	no		Token used against Google Cloud KMS. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_KMS_GCP_TOKEN_FILE	no		Path to the file holding the token used against Google Cloud KMS. Used by the backend that signs audit checkpoints.
OLIVARES_LEDGER_SIGNER	no		Off-box checkpoint signer to use: which key management backend signs audit checkpoints instead of a local key.
OLIVARES_LICENSE	no		License document itself, inline, for deployments that cannot mount a file.
OLIVARES_LICENSE_PATH	no		Path to the license document on disk. Takes effect before the inline form.
OLIVARES_LICENSE_PUBKEY	no		Public key the engine verifies the license signature against.
OLIVARES_LIVEINGEST_INSPECT_OBSERVED_REFS	no		Set to `1` to make live ingest inspect observed references, which costs more per event.
OLIVARES_LOG_LEVEL	no		Minimum log level the engine emits: `debug`, `info`, `warn` or `error`.
OLIVARES_MCP_TASK_KILLSWITCH_SWEEP	no		How often a running MCP task is re-checked against the kill switch, as a Go duration.
OLIVARES_METRICS_ALLOWED_CIDRS	no		Comma-separated CIDR ranges allowed to scrape the metrics endpoint.
OLIVARES_METRICS_TOKEN	no		Bearer token the metrics endpoint requires. Unset leaves the endpoint unauthenticated behind whatever the listener exposes.
OLIVARES_NHI_ACTUATORS_CONFIG	no		Path to the JSON configuration of the actuators that act on non-human identities.
OLIVARES_NIS2INCIDENT_CONFIG	no		Path to the JSON configuration of NIS2 incident reporting. Read by builds compiled with the `enterprise` tag.
OLIVARES_NOTIFY_CONFIG	no		Path to the JSON list of notification destinations. Secret-bearing, so it stays out of the store.
OLIVARES_NOTIFY_DISPATCH_INTERVAL	no		How often queued notifications are dispatched, as a Go duration. `0` disables the pump.
OLIVARES_OIDC_	no		Family prefix for the OIDC federation settings listed above.
OLIVARES_OIDC_CLIENT_ID	yes		OIDC client id for this control plane. Required when the protocol is `oidc`.
OLIVARES_OIDC_CLIENT_SECRET	yes		OIDC client secret for this control plane. Required when the protocol is `oidc`.
OLIVARES_OIDC_GROUPS_CLAIM	no		ID-token or UserInfo claim carrying group membership. Unset leaves group mapping off.
OLIVARES_OIDC_ISSUER	yes		OIDC issuer URL. Required when the protocol is `oidc`.
OLIVARES_ORCH_CADENCE_INTERVAL	no		How often the orchestration cadence loop runs, as a Go duration. `0` disables it.
OLIVARES_ORCH_DISPATCH_CONFIG	no		Path to the JSON configuration for orchestration dispatch targets.
OLIVARES_ORCH_WORKFLOW_INTERVAL	no	15s	How often the orchestration workflow loop advances waiting runs, as a Go duration.
OLIVARES_ORCH_WORKFLOW_MAX	no		Upper bound on concurrently advancing workflow runs.
OLIVARES_ORCH_WORKFLOW_STEPS_MAX	no		Upper bound on the steps one workflow run may take, which stops a loop from running forever.
OLIVARES_OTA_PUBKEY	no		Public key the engine verifies a downloaded update bundle against.
OLIVARES_OTEL_	no		Family prefix for the trace export settings listed above.
OLIVARES_OTEL_ENABLED	no		Set to a true value to export traces. Setting an endpoint turns export on as well.
OLIVARES_OTEL_ENDPOINT	no		OTLP endpoint traces are exported to. Falls back to the standard `OTEL_EXPORTER_OTLP_ENDPOINT`.
OLIVARES_OTEL_GENAI_COMPAT	no		Set to a true value to also emit the generative-AI semantic-convention attributes on spans.
OLIVARES_OTEL_INSECURE	no		Set to a true value to export traces over plaintext. Local development only.
OLIVARES_OTEL_PROTOCOL	no		OTLP protocol used for export. Falls back to the standard `OTEL_EXPORTER_OTLP_PROTOCOL`.
OLIVARES_OTEL_SAMPLE_RATIO	no		Fraction of traces sampled, between 0 and 1.
OLIVARES_OTEL_SERVICE_NAME	no		Service name reported on exported traces.
OLIVARES_PDP_CEDAR_FILE	no		Path to the Cedar policy file, for the `cedar` decision point.
OLIVARES_PDP_ENGINE	no		External policy decision point to add on top of the native engine: `cedar`, `opa` or `none`.
OLIVARES_PDP_OPA_PATH	no		Decision path queried under the Open Policy Agent endpoint.
OLIVARES_PDP_OPA_TOKEN	no		Bearer token for the Open Policy Agent endpoint.
OLIVARES_PDP_OPA_URL	no		Base URL of the Open Policy Agent endpoint, for the `opa` decision point.
OLIVARES_PIV_CONFIG	no		Path to the JSON configuration for smart-card privileged login.
OLIVARES_PLUGIN	no		Handshake cookie an out-of-process connector plugin must present. Set by the engine when it launches the plugin, not by the operator.
OLIVARES_POLICY_MAX_STALENESS	no		How stale a cached policy decision may be before it is refused, as a Go duration.
OLIVARES_POLICY_SIGNING_KEY	no		Policy bundle signing key, inline. Prefer the file form.
OLIVARES_POLICY_SIGNING_KEY_FILE	no		Path to the policy bundle signing key.
OLIVARES_POLICY_SIGNING_KEY_WRAPPED_FILE	no		Path to the policy signing key wrapped by a key management service.
OLIVARES_RATELIMIT_CONFIG	no		Path to the JSON rate-limit policy the engine applies to its own endpoints.
OLIVARES_RATELIMIT_STORE	no		Where rate-limit counters live, which decides whether limits are per replica or shared.
OLIVARES_REPORTING_CONFIG	no		Path to the JSON configuration of the reporting add-on. Read by builds compiled with the `enterprise` tag.
OLIVARES_REPORTING_SCHEDULE_INTERVAL	no		How often scheduled reports are generated, as a Go duration.
OLIVARES_REPORT_CACHE_DIR	no		Directory where generated report artifacts are cached.
OLIVARES_RETENTION_SWEEP_INTERVAL	no		How often the retention sweep deletes data past its retention window, as a Go duration.
OLIVARES_SAML_	no		Family prefix for the SAML federation settings listed above.
OLIVARES_SAML_ACS_URL	yes		Assertion consumer service URL of this service provider, where the identity provider posts the assertion.
OLIVARES_SAML_EMAIL_ATTRIBUTE	no		Assertion attribute carrying the user's email. Unset tries the common attribute names.
OLIVARES_SAML_GROUPS_ATTRIBUTE	no		Multi-valued assertion attribute carrying group membership. Unset leaves group mapping off.
OLIVARES_SAML_IDP_METADATA_URL	no		Identity-provider metadata URL, from which the SAML endpoints and certificate are read.
OLIVARES_SAML_IDP_SSO_URL	no		Identity-provider single sign-on URL, for the path where metadata is not fetched.
OLIVARES_SAML_SP_CERT_PEM	no		Service-provider encryption certificate in PEM, published as the encryption key descriptor.
OLIVARES_SAML_SP_ENTITY_ID	yes		Entity id this control plane presents as the SAML service provider. Required when the protocol is `saml`.
OLIVARES_SAML_SP_KEY_PEM	no		Service-provider encryption private key in PEM, which decrypts encrypted assertions.
OLIVARES_SAML_SP_SIGN_CERT_PEM	no		Service-provider signing certificate in PEM, published as the signing key descriptor.
OLIVARES_SAML_SP_SIGN_KEY_PEM	no		Service-provider signing private key in PEM, which signs authentication requests.
OLIVARES_SANDBOX_RUNTIME_CONFIG	no		Path to the JSON configuration of the sandbox runtime that isolates agent execution.
OLIVARES_SECRETREF_AWS_REGION	no		Region used for AWS Secrets Manager references. Falls back to `AWS_REGION` and `AWS_DEFAULT_REGION`.
OLIVARES_SECRETREF_AZURE_API_VERSION	no		Azure Key Vault API version requested.
OLIVARES_SECRETREF_AZURE_TOKEN	no		Token used against Azure Key Vault.
OLIVARES_SECRETREF_AZURE_VAULT_URL	no		Default Azure Key Vault URL for references that do not name one.
OLIVARES_SECRETREF_GCP_ENDPOINT	no		Endpoint override for Google Secret Manager.
OLIVARES_SECRETREF_GCP_PROJECT	no		Default Google Cloud project for Secret Manager references that do not name one.
OLIVARES_SECRETREF_GCP_TOKEN	no		Token used against Google Secret Manager.
OLIVARES_SECRETREF_INFISICAL_ENV	no		Default Infisical environment for references that do not name one.
OLIVARES_SECRETREF_INFISICAL_TOKEN	no		Token used against Infisical.
OLIVARES_SECRETREF_INFISICAL_URL	no		Base URL of the Infisical server secret references resolve against.
OLIVARES_SECRETREF_INFISICAL_WORKSPACE_ID	no		Default Infisical workspace for references that do not name one.
OLIVARES_SECRETREF_K8S_APISERVER	no		Kubernetes API server secret references resolve against.
OLIVARES_SECRETREF_K8S_CA_FILE	no		Path to the certificate authority bundle used to verify the Kubernetes API.
OLIVARES_SECRETREF_K8S_TOKEN_FILE	no		Path to the service-account token file used against the Kubernetes API.
OLIVARES_SECRETREF_VAULT_ADDR	no		Address of the HashiCorp Vault server secret references resolve against. Falls back to `VAULT_ADDR`.
OLIVARES_SECRETREF_VAULT_NAMESPACE	no		Vault namespace secret references resolve in. Falls back to `VAULT_NAMESPACE`.
OLIVARES_SECRETREF_VAULT_TOKEN	no		Token used against HashiCorp Vault.
OLIVARES_SECRET_STORE_KEY	no		Key that encrypts operator secrets held in the store.
OLIVARES_SERVER_URL	no		Base URL of the control plane the CLI talks to, when `--server` is not given.
OLIVARES_SESSION_BUDGET_AVAILABILITY	no		Whether session budget enforcement is required, and what happens when the budget service cannot answer.
OLIVARES_SESSION_CONTEXT_AVAILABILITY	no		Whether session context governance is required, and what happens when the context service cannot answer.
OLIVARES_SESSION_KILLSWITCH_SWEEP	no	15s	How often an active session is re-checked against the kill switch, as a Go duration. `0` leaves only the check at launch.
OLIVARES_SESSION_PEP_TOKEN_FILE	no		Path to the file holding the token the session enforcement point requires.
OLIVARES_SESSION_PEP_URL	no		Base URL of the policy enforcement point a governed agent session calls before acting.
OLIVARES_SESSION_RUNTIME_	no		Family prefix for the session runtime settings listed above.
OLIVARES_SESSION_RUNTIME_BASE_URL	no		Base URL the launched session runtime calls back to.
OLIVARES_SESSION_RUNTIME_CLAUDE_BIN	no	claude	Executable the session runtime launches.
OLIVARES_SESSION_RUNTIME_TOKEN_FILE	no		Path to the file holding the session runtime's credential, refreshed by rotation.
OLIVARES_SESSION_RUNTIME_TOKEN_TTL	no	15m	Lifetime of a minted session runtime credential, as a Go duration.
OLIVARES_SESSION_RUNTIME_WIF	no		Whether the session runtime takes its credential from workload identity federation instead of a token file.
OLIVARES_SESSION_RUNTIME_WIF_RULE	no		Which federation rule the session runtime exchanges its workload identity under.
OLIVARES_SIEM_FORWARD_INTERVAL	no		How often signed ledger records are forwarded to the configured SIEM, as a Go duration.
OLIVARES_SOURCES_CONFIG	no		Path to the JSON file that wires real observation sources and identity roster providers before the engine starts.
OLIVARES_SSO_PROTOCOL	no		Single sign-on protocol to wire: `oidc` or `saml`. Unset means no federation, and the endpoints report it rather than half-wiring one.
